10	'AccessibleComputing'	'Redirects_with_old_history'
10	'AccessibleComputing'	'Unprintworthy_redirects'
12	'Anarchism'	'All_articles_lacking_reliable_references'
12	'Anarchism'	'All_articles_with_unsourced_statements'
12	'Anarchism'	'Anarchism'
12	'Anarchism'	'Anti-capitalism'
12	'Anarchism'	'Anti-fascism'
12	'Anarchism'	'Articles_containing_Spanish-language_text'
12	'Anarchism'	'Articles_lacking_reliable_references_from_March_2019'
12	'Anarchism'	'Articles_prone_to_spam_from_November_2014'
12	'Anarchism'	'Articles_with_short_description'
12	'Anarchism'	'Articles_with_unsourced_statements_from_March_2019'
12	'Anarchism'	'Far-left_politics'
12	'Anarchism'	'Good_articles'
12	'Anarchism'	'Libertarian_socialism'
12	'Anarchism'	'Political_culture'
12	'Anarchism'	'Political_ideologies'
12	'Anarchism'	'Social_theories'
12	'Anarchism'	'Use_British_English_from_January_2014'
12	'Anarchism'	'Use_dmy_dates_from_July_2018'
12	'Anarchism'	'Wikipedia_articles_with_BNF_identifiers'
12	'Anarchism'	'Wikipedia_articles_with_GND_identifiers'
12	'Anarchism'	'Wikipedia_articles_with_HDS_identifiers'
12	'Anarchism'	'Wikipedia_articles_with_LCCN_identifiers'
12	'Anarchism'	'Wikipedia_articles_with_NKC_identifiers'
12	'Anarchism'	'Wikipedia_indefinitely_move-protected_pages'
13	'AfghanistanHistory'	'Redirects_with_old_history'
13	'AfghanistanHistory'	'Unprintworthy_redirects'
14	'AfghanistanGeography'	'Redirects_with_old_history'
14	'AfghanistanGeography'	'Unprintworthy_redirects'
15	'AfghanistanPeople'	'Redirects_with_old_history'
15	'AfghanistanPeople'	'Unprintworthy_redirects'
18	'AfghanistanCommunications'	'Redirects_with_old_history'
18	'AfghanistanCommunications'	'Unprintworthy_redirects'
19	'AfghanistanTransportations'	'Redirects_with_old_history'
19	'AfghanistanTransportations'	'Unprintworthy_redirects'
20	'AfghanistanMilitary'	'Redirects_with_old_history'
20	'AfghanistanMilitary'	'Unprintworthy_redirects'
21	'AfghanistanTransnationalIssues'	'Redirects_with_old_history'
21	'AfghanistanTransnationalIssues'	'Unprintworthy_redirects'
23	'AssistiveTechnology'	'Redirects_with_old_history'
23	'AssistiveTechnology'	'Unprintworthy_redirects'
24	'AmoeboidTaxa'	'Redirects_with_old_history'
24	'AmoeboidTaxa'	'Unprintworthy_redirects'
25	'Autism'	'All_Wikipedia_articles_written_in_American_English'
25	'Autism'	'All_articles_containing_potentially_dated_statements'
25	'Autism'	'Articles_containing_potentially_dated_statements_from_2015'
25	'Autism'	'Articles_containing_potentially_dated_statements_from_2017'
25	'Autism'	'Articles_containing_video_clips'
25	'Autism'	'Articles_with_Curlie_links'
25	'Autism'	'Articles_with_short_description'
25	'Autism'	'Autism'
25	'Autism'	'CS1_German-language_sources_(de)'
25	'Autism'	'CS1_Spanish-language_sources_(es)'
25	'Autism'	'Communication_disorders'
25	'Autism'	'Featured_articles'
25	'Autism'	'Mental_and_behavioural_disorders'
25	'Autism'	'Neurological_disorders'
25	'Autism'	'Neurological_disorders_in_children'
25	'Autism'	'Pervasive_developmental_disorders'
25	'Autism'	'Psychiatric_diagnosis'
25	'Autism'	'RTT'
25	'Autism'	'Use_American_English_from_August_2016'
25	'Autism'	'Use_dmy_dates_from_August_2018'
25	'Autism'	'Wikipedia_indefinitely_move-protected_pages'
25	'Autism'	'Wikipedia_indefinitely_semi-protected_pages'
27	'AlbaniaHistory'	'Redirects_with_old_history'
27	'AlbaniaHistory'	'Unprintworthy_redirects'
29	'AlbaniaPeople'	'Redirects_with_old_history'
29	'AlbaniaPeople'	'Unprintworthy_redirects'
30	'AsWeMayThink'	'Redirects_with_old_history'
30	'AsWeMayThink'	'Unprintworthy_redirects'
35	'AlbaniaGovernment'	'Redirects_with_old_history'
35	'AlbaniaGovernment'	'Unprintworthy_redirects'
36	'AlbaniaEconomy'	'Redirects_with_old_history'
36	'AlbaniaEconomy'	'Unprintworthy_redirects'
39	'Albedo'	'All_articles_with_unsourced_statements'
39	'Albedo'	'Articles_containing_Latin-language_text'
39	'Albedo'	'Articles_with_unsourced_statements_from_December_2017'
39	'Albedo'	'Articles_with_unsourced_statements_from_January_2018'
39	'Albedo'	'Articles_with_unsourced_statements_from_November_2013'
39	'Albedo'	'CS1:_long_volume_value'
39	'Albedo'	'CS1_maint:_Uses_editors_parameter'
39	'Albedo'	'Climate_forcing'
39	'Albedo'	'Climatology'
39	'Albedo'	'Electromagnetic_radiation'
39	'Albedo'	'Land_surface_effects_on_climate'
39	'Albedo'	'Pages_using_div_col_with_small_parameter'
39	'Albedo'	'Radiation'
39	'Albedo'	'Radiometry'
39	'Albedo'	'Scattering,_absorption_and_radiative_transfer_(optics)'
39	'Albedo'	'Use_dmy_dates_from_June_2013'
40	'AfroAsiaticLanguages'	'Redirects_with_old_history'
40	'AfroAsiaticLanguages'	'Unprintworthy_redirects'
42	'ArtificalLanguages'	'Redirects_from_misspellings'
42	'ArtificalLanguages'	'Redirects_from_moves'
42	'ArtificalLanguages'	'Redirects_with_old_history'
42	'ArtificalLanguages'	'Unprintworthy_redirects'
46	'AbacuS'	'Redirects_with_old_history'
46	'AbacuS'	'Unprintworthy_redirects'
47	'AbalonE'	'Redirects_with_old_history'
47	'AbalonE'	'Unprintworthy_redirects'
48	'AbbadideS'	'Redirects_with_old_history'
48	'AbbadideS'	'Unprintworthy_redirects'
49	'AbbesS'	'Redirects_with_old_history'
49	'AbbesS'	'Unprintworthy_redirects'
50	'AbbevilleFrance'	'Redirects_with_old_history'
50	'AbbevilleFrance'	'Unprintworthy_redirects'
51	'AbbeY'	'Redirects_with_old_history'
51	'AbbeY'	'Unprintworthy_redirects'
52	'AbboT'	'Redirects_with_old_history'
52	'AbboT'	'Unprintworthy_redirects'
53	'Abbreviations'	'Redirects_from_plurals'
53	'Abbreviations'	'Unprintworthy_redirects'
54	'AtlasShrugged'	'Redirects_with_old_history'
54	'AtlasShrugged'	'Unprintworthy_redirects'
56	'ArtificialLanguages'	'Redirects_with_old_history'
56	'ArtificialLanguages'	'Unprintworthy_redirects'
58	'AtlasShruggedCharacters'	'Redirects_with_old_history'
58	'AtlasShruggedCharacters'	'Unprintworthy_redirects'
59	'AtlasShruggedCompanies'	'Redirects_with_old_history'
59	'AtlasShruggedCompanies'	'Unprintworthy_redirects'
60	'AyersMusicPublishingCompany'	'Redirects_from_phrases'
60	'AyersMusicPublishingCompany'	'Redirects_with_old_history'
60	'AyersMusicPublishingCompany'	'Unprintworthy_redirects'
128	'Atlas_Shrugged'	'All_Wikipedia_B-Class_vital_articles'
128	'Atlas_Shrugged'	'All_Wikipedia_level-5_vital_articles'
128	'Atlas_Shrugged'	'All_Wikipedia_vital_articles'
128	'Atlas_Shrugged'	'All_Wikipedia_vital_articles_in_Art'
128	'Atlas_Shrugged'	'B-Class_Libertarianism_articles'
128	'Atlas_Shrugged'	'B-Class_Objectivism_articles'
128	'Atlas_Shrugged'	'B-Class_Philosophy_articles'
128	'Atlas_Shrugged'	'B-Class_novel_articles'
128	'Atlas_Shrugged'	'B-Class_philosophical_literature_articles'
128	'Atlas_Shrugged'	'B-Class_politics_articles'
128	'Atlas_Shrugged'	'B-Class_rail_transport_articles'
128	'Atlas_Shrugged'	'High-importance_Libertarianism_articles'
128	'Atlas_Shrugged'	'High-importance_novel_articles'
128	'Atlas_Shrugged'	'Low-importance_politics_articles'
128	'Atlas_Shrugged'	'Low-importance_rail_transport_articles'
128	'Atlas_Shrugged'	'Mid-importance_Philosophy_articles'
128	'Atlas_Shrugged'	'Mid-importance_philosophical_literature_articles'
128	'Atlas_Shrugged'	'Philosophical_literature_task_force_articles'
128	'Atlas_Shrugged'	'Top-importance_Objectivism_articles'
128	'Atlas_Shrugged'	'WikiProject_Politics_articles'
128	'Atlas_Shrugged'	'Wikipedia_B-Class_level-5_vital_articles'
128	'Atlas_Shrugged'	'Wikipedia_B-Class_vital_articles_in_Art'
128	'Atlas_Shrugged'	'Wikipedia_level-5_vital_articles_in_Art'
241	'AfricanAmericanPeople'	'Redirects_with_old_history'
241	'AfricanAmericanPeople'	'Unprintworthy_redirects'
242	'AdolfHitler'	'Redirects_with_old_history'
242	'AdolfHitler'	'Unprintworthy_redirects'
247	'AbeceDarians'	'Redirects_with_old_history'
247	'AbeceDarians'	'Unprintworthy_redirects'
248	'AbeL'	'Redirects_with_old_history'
248	'AbeL'	'Unprintworthy_redirects'
249	'AbensbergGermany'	'Redirects_with_old_history'
249	'AbensbergGermany'	'Unprintworthy_redirects'
251	'AberdeenSouthDakota'	'Redirects_with_old_history'
251	'AberdeenSouthDakota'	'Unprintworthy_redirects'
254	'ArthurKoestler'	'Redirects_with_old_history'
254	'ArthurKoestler'	'Unprintworthy_redirects'
